Participant,T1,T2,T3,T4,T5,T6
user10,1.277853,0.8975692,1.154959,1.422301,1.430679,1.019551
,0.5892904,1.285447,2.804675,2.288618,1.343837,1.75268
,2.41339,2.399529,17.60656,1.467487,3.230691,2.1339
,0.8345243,1.133279,23.85712,0.9776132,1.921859,3.268756
,1.234759,1.310568,1.410127,1.211827,0.8783035,0.8553566
,1.599389,1.233007,1.299278,1.121022,3.266345,1.531498
,0.9710205,7.176095,0.765987,7.189351,1.842632,2.010429
,1.006958,0.1996923,6.442441,2.300315,1.777173,7.387073
,1.021281,0.8330509,1.266757,1.788847,1.645089,0.8113078
,4.132341,0.3337045,,0.910762,1.755481,1.611155
,1.33252,0.3661781,,4.25386,1.555008,1.477512
,2.299598,0.766926,,0.6217514,1.211275,6.077883
,1.26589,4.038251,,2.488338,3.643431,3.641244
,1.644364,0.6939433,,1.699947,3.598167,1.087815
,1.377959,1.610389,,2.676818,3.098554,1.421387
,0.53323,10.16702,,2.798554,1.988541,1.366621
,1.232676,1.354259,,1.86669,1.576931,1.167176
,0.6333754,1.252082,,2.077429,3.754498,
,0.6999034,2.476294,,1.520616,1.820974,
,0.6988829,4.019869,,1.843632,5.909185,
,0.7335525,0.3000743,,0.9544322,0.178222,
,1.232476,3.999778,,0.7664856,0.8442043,
,3.133622,3.599087,,0.8563365,4.588805,
,1.33363,2.965765,,4.59842,1.809859,
,0.598832,2.200355,,1.255045,1.178372,
,1.564253,,,0.3217647,,
,2.432367,,,0.8664494,,
,3.27937,,,1.033634,,
,0.5997418,,,1.577478,,
,0.9333509,,,1.276954,,
,1.233658,,,2.310132,,
,2.685369,,,,,
,0.7331909,,,,,
,1.076514,,,,,
,1.059528,,,,,
,0.9317102,,,,,
,3.844097,,,,,
,0.9330261,,,,,
,0.6112632,,,,,
,2.166046,,,,,
,0.5880288,,,,,
