Participant,T1,T2,T3,T4,T5,T6
user20,1.644575,1.619875,1.630231,1.0211,1.274664,1.308175
,1.638834,4.099893,2.686043,2.11004,0.9694002,2.208848
,0.9964995,2.242757,2.665823,1.522426,2.914888,2.223551
,0.8995692,1.299788,3.776462,4.787037,1.378383,2.246433
,17.03942,12.09378,1.898601,1.133873,1.600837,2.020982
,1.2998,1.365824,0.9346069,0.9981273,1.08808,1.931285
,2.610652,4.832507,2.998329,0.9450057,2.521877,1.377431
,3.631637,13.04128,20.21782,7.863916,1.277912,1.310743
,,,1.665778,,0.9212658,0.8878679
,,,,,13.01758,2.343297
,,,,,12.36345,1.611421
,,,,,1.166645,1.843867
,,,,,3.077479,1.011296
,,,,,1.176493,0.8656558
,,,,,3.264535,0.9447781
,,,,,2.043729,1.132784
,,,,,1.799586,1.000519
,,,,,1.944744,8.142322
,,,,,1.954777,1.189011
,,,,,0.9545807,2.121316
,,,,,,2.377891
,,,,,,2.053648
,,,,,,4.632005
,,,,,,1.399581
,,,,,,1.443168
,,,,,,1.544116
,,,,,,1.533324
,,,,,,0.8660555
,,,,,,1.05448
,,,,,,0.94452
