Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/13/2023 8:44:20 PM,6_6,15,13,Generate,,,,
6/13/2023 8:44:20 PM,6_22,15,13,Generate,,,,
6/13/2023 8:44:21 PM,6_22,16,7,Touch,,,,
6/13/2023 8:44:21 PM,6_22,16,7,Touch,,,,
6/13/2023 8:44:35 PM,6_22,22,6,Hit,14.78682,,,
6/13/2023 8:44:35 PM,6_17,22,6,Generate,,,,
6/13/2023 8:44:35 PM,6_17,22,6,Hit,15.09878,,,
6/13/2023 8:44:35 PM,9_17,22,6,Generate,,,,
6/13/2023 8:44:35 PM,9_17,22,6,Touch,,,,
6/13/2023 8:44:36 PM,9_17,17,7,Hit,1.388354,,,
6/13/2023 8:44:36 PM,0_9,17,7,Generate,,,,
6/13/2023 8:44:36 PM,0_9,17,8,Touch,,,,
6/13/2023 8:44:37 PM,0_9,16,9,Hit,1.821517,,,
6/13/2023 8:44:37 PM,0_4,16,9,Generate,,,,
6/13/2023 8:44:37 PM,0_4,10,9,Touch,,,,
6/13/2023 8:44:37 PM,0_4,4,1,Hit,0.7111385,,,
6/13/2023 8:44:37 PM,0_17,4,1,Generate,,,,
6/13/2023 8:44:38 PM,0_17,4,0,Touch,,,,
6/13/2023 8:44:38 PM,0_17,4,0,Touch,,,,
6/13/2023 8:44:38 PM,0_17,3,0,Hit,2.088028,,,
6/13/2023 8:44:38 PM,14_17,3,0,Generate,,,,
6/13/2023 8:44:38 PM,14_17,10,0,Touch,,,,
6/13/2023 8:44:39 PM,14_17,17,7,Hit,1.51001,,,
6/13/2023 8:44:39 PM,14_19,17,7,Generate,,,,
6/13/2023 8:44:39 PM,14_19,17,7,Touch,,,,
6/13/2023 8:44:40 PM,14_19,16,14,Hit,1.832343,,,
6/13/2023 8:44:40 PM,12_19,16,14,Generate,,,,
6/13/2023 8:44:41 PM,12_19,10,12,Hit,0.8436666,,,
6/13/2023 8:44:41 PM,2_19,10,12,Generate,,,,
6/13/2023 8:44:42 PM,2_19,10,19,Hit,2.666175,,,
6/13/2023 8:44:42 PM,2_3,10,19,Generate,,,,
6/13/2023 8:44:42 PM,2_3,3,2,Hit,1.62246,,,
6/13/2023 8:44:42 PM,3_7,3,2,Generate,,,,
6/13/2023 8:44:43 PM,3_7,3,2,Hit,1.300694,,,
6/13/2023 8:44:43 PM,0_7,3,2,Generate,,,,
6/13/2023 8:44:44 PM,0_7,2,7,Hit,1.188722,,,
6/13/2023 8:44:44 PM,0_20,2,7,Generate,,,,
6/13/2023 8:44:44 PM,0_20,8,0,Hit,1.287591,,,
6/13/2023 8:44:44 PM,8_20,8,0,Generate,,,,
6/13/2023 8:44:45 PM,8_20,20,7,Hit,1.488565,,,
6/13/2023 8:44:45 PM,8_12,20,7,Generate,,,,
6/13/2023 8:44:46 PM,8_12,9,8,Hit,1.700323,,,
6/13/2023 8:44:46 PM,3_12,9,8,Generate,,,,
6/13/2023 8:44:47 PM,3_12,3,6,Touch,,,,
6/13/2023 8:44:47 PM,3_12,3,12,Hit,1.821181,,,
6/13/2023 8:44:47 PM,1_3,3,12,Generate,,,,
6/13/2023 8:44:47 PM,1_3,3,6,Hit,1.465265,,,
6/13/2023 8:44:47 PM,0_1,3,6,Generate,,,,
6/13/2023 8:44:48 PM,0_1,3,1,Hit,1.022695,,,
6/13/2023 8:44:48 PM,0_1,3,1,Generate,,,,
6/13/2023 8:44:48 PM,0_1,3,1,Hit,0.4549307,,,
6/13/2023 8:44:48 PM,0_12,3,1,Generate,,,,
6/13/2023 8:44:49 PM,0_12,3,0,Hit,1.522734,,,
6/13/2023 8:44:49 PM,12_22,3,0,Generate,,,,
6/13/2023 8:44:50 PM,12_22,3,12,Hit,1.189004,,,
6/13/2023 8:44:50 PM,10_22,3,12,Generate,,,,
