Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/2/2023 11:24:46 AM,30_30,42,28,Generate,,,,
6/2/2023 11:24:46 AM,30_82,42,28,Generate,,,,
6/2/2023 11:24:47 AM,30_82,30,83,Hit,0.9107797,,,
6/2/2023 11:24:47 AM,16_82,30,83,Generate,,,,
6/2/2023 11:24:47 AM,16_82,29,83,Touch,,,,
6/2/2023 11:24:47 AM,16_82,29,83,Touch,,,,
6/2/2023 11:24:47 AM,16_82,11,82,Hit,1.576328,,,
6/2/2023 11:24:47 AM,16_32,11,82,Generate,,,,
6/2/2023 11:24:47 AM,16_32,27,82,Touch,,,,
6/2/2023 11:24:48 AM,16_32,11,32,Hit,0.8440158,,,
6/2/2023 11:24:48 AM,6_16,11,32,Generate,,,,
6/2/2023 11:24:48 AM,6_16,11,32,Touch,,,,
6/2/2023 11:24:48 AM,6_16,11,16,Hit,1.908956,,,
6/2/2023 11:24:48 AM,6_116,11,16,Generate,,,,
6/2/2023 11:24:49 AM,6_116,11,34,Touch,,,,
6/2/2023 11:24:49 AM,6_116,5,66,Touch,,,,
6/2/2023 11:24:49 AM,6_116,6,83,Hit,1.344411,,,
6/2/2023 11:24:49 AM,116_135,6,83,Generate,,,,
6/2/2023 11:24:50 AM,116_135,6,83,Touch,,,,
6/2/2023 11:24:50 AM,116_135,21,99,Touch,,,,
6/2/2023 11:24:50 AM,116_135,87,117,Touch,,,,
6/2/2023 11:24:50 AM,116_135,134,116,Hit,2.043823,,,
6/2/2023 11:24:50 AM,62_135,134,116,Generate,,,,
6/2/2023 11:24:51 AM,62_135,119,116,Touch,,,,
6/2/2023 11:24:51 AM,62_135,120,6,Touch,,,,
6/2/2023 11:24:52 AM,62_135,119,6,Touch,,,,
6/2/2023 11:24:52 AM,62_135,119,6,Touch,,,,
6/2/2023 11:24:52 AM,62_135,119,6,Touch,,,,
6/2/2023 11:24:52 AM,62_135,119,6,Touch,,,,
6/2/2023 11:24:52 AM,62_135,120,6,Touch,,,,
6/2/2023 11:24:53 AM,62_135,136,6,Touch,,,,
6/2/2023 11:24:53 AM,62_135,120,6,Touch,,,,
6/2/2023 11:24:53 AM,62_135,120,6,Touch,,,,
6/2/2023 11:24:53 AM,62_135,122,6,Touch,,,,
6/2/2023 11:24:53 AM,62_135,122,6,Touch,,,,
6/2/2023 11:24:54 AM,62_135,107,136,Touch,,,,
6/2/2023 11:24:54 AM,62_135,93,136,Touch,,,,
6/2/2023 11:24:55 AM,62_135,30,136,Touch,,,,
6/2/2023 11:24:56 AM,62_135,30,135,Touch,,,,
6/2/2023 11:24:56 AM,62_135,46,135,Hit,6.364978,,,
6/2/2023 11:24:56 AM,62_114,46,135,Generate,,,,
6/2/2023 11:24:56 AM,62_114,30,134,Touch,,,,
6/2/2023 11:24:56 AM,62_114,30,134,Touch,,,,
6/2/2023 11:24:57 AM,62_114,47,116,Touch,,,,
6/2/2023 11:24:57 AM,62_114,46,116,Touch,,,,
6/2/2023 11:24:57 AM,,62,99,LostTrack,,1,
6/2/2023 11:24:57 AM,62_114,62,99,Hit,6.466522,,,
6/2/2023 11:24:57 AM,114_126,62,99,Generate,,,,
6/2/2023 11:24:57 AM,114_126,78,99,Touch,,,,
6/2/2023 11:24:57 AM,114_126,79,99,Touch,,,,
6/2/2023 11:24:57 AM,114_126,63,99,Touch,,,,
6/2/2023 11:24:58 AM,114_126,142,99,Touch,,,,
6/2/2023 11:24:59 AM,114_126,111,99,Touch,,,,
6/2/2023 11:24:59 AM,114_126,111,129,Touch,,,,
6/2/2023 11:24:59 AM,114_126,142,129,Touch,,,,
6/2/2023 11:24:59 AM,114_126,142,129,Touch,,,,
6/2/2023 11:25:00 AM,114_126,125,114,Hit,4.109754,,,
6/2/2023 11:25:00 AM,27_126,125,114,Generate,,,,
6/2/2023 11:25:00 AM,27_126,125,114,Touch,,,,
6/2/2023 11:25:01 AM,27_126,126,70,Hit,3.575873,,,
6/2/2023 11:25:01 AM,27_63,126,70,Generate,,,,
6/2/2023 11:25:01 AM,27_63,126,26,Touch,,,,
6/2/2023 11:25:01 AM,27_63,78,28,Touch,,,,
6/2/2023 11:25:02 AM,27_63,47,44,Touch,,,,
6/2/2023 11:25:02 AM,27_63,63,28,Hit,1.411711,,,
6/2/2023 11:25:02 AM,0_27,63,28,Generate,,,,
6/2/2023 11:25:02 AM,0_27,63,28,Touch,,,,
6/2/2023 11:25:02 AM,0_27,63,27,Hit,2.288493,,,
6/2/2023 11:25:02 AM,0_17,63,27,Generate,,,,
6/2/2023 11:25:02 AM,0_17,31,27,Touch,,,,
6/2/2023 11:25:03 AM,0_17,16,0,Hit,1.399096,,,
6/2/2023 11:25:03 AM,17_43,16,0,Generate,,,,
6/2/2023 11:25:04 AM,17_43,16,0,Touch,,,,
6/2/2023 11:25:04 AM,17_43,17,1,Hit,1.731294,,,
6/2/2023 11:25:04 AM,43_49,17,1,Generate,,,,
6/2/2023 11:25:04 AM,43_49,18,1,Touch,,,,
6/2/2023 11:25:04 AM,43_49,23,17,Touch,,,,
6/2/2023 11:25:05 AM,43_49,58,49,Hit,1.388393,,,
6/2/2023 11:25:05 AM,43_80,58,49,Generate,,,,
6/2/2023 11:25:06 AM,43_80,26,80,Hit,0.7107755,,,
6/2/2023 11:25:06 AM,35_43,26,80,Generate,,,,
6/2/2023 11:25:07 AM,35_43,43,51,Hit,3.242076,,,
6/2/2023 11:25:07 AM,24_35,43,51,Generate,,,,
6/2/2023 11:25:07 AM,24_35,43,35,Touch,,,,
6/2/2023 11:25:08 AM,24_35,23,35,Touch,,,,
6/2/2023 11:25:08 AM,24_35,23,35,Hit,1.622233,,,
6/2/2023 11:25:08 AM,8_24,23,35,Generate,,,,
6/2/2023 11:25:08 AM,8_24,23,35,Touch,,,,
6/2/2023 11:25:08 AM,8_24,8,8,Hit,0.7668791,,,
6/2/2023 11:25:08 AM,24_29,8,8,Generate,,,,
6/2/2023 11:25:09 AM,24_29,12,24,Hit,2.545051,,,
6/2/2023 11:25:09 AM,0_29,12,24,Generate,,,,
6/2/2023 11:25:10 AM,0_29,13,19,Touch,,,,
6/2/2023 11:25:10 AM,0_29,13,0,Hit,0.9667867,,,
6/2/2023 11:25:10 AM,29_138,13,0,Generate,,,,
6/2/2023 11:25:10 AM,29_138,13,1,Touch,,,,
6/2/2023 11:25:11 AM,29_138,13,2,Touch,,,,
6/2/2023 11:25:11 AM,29_138,45,2,Touch,,,,
6/2/2023 11:25:12 AM,29_138,28,2,Touch,,,,
6/2/2023 11:25:12 AM,29_138,44,2,Touch,,,,
6/2/2023 11:25:12 AM,29_138,44,39,Touch,,,,
6/2/2023 11:25:12 AM,29_138,44,122,Touch,,,,
6/2/2023 11:25:13 AM,29_138,44,138,Touch,,,,
6/2/2023 11:25:13 AM,29_138,44,138,Touch,,,,
6/2/2023 11:25:13 AM,29_138,43,-1,Touch,,,,
6/2/2023 11:25:13 AM,29_138,43,-1,Touch,,,,
6/2/2023 11:25:14 AM,29_138,59,139,Touch,,,,
6/2/2023 11:25:14 AM,29_138,59,139,Touch,,,,
6/2/2023 11:25:15 AM,29_138,44,139,Touch,,,,
6/2/2023 11:25:15 AM,29_138,29,89,Hit,7.098145,,,
6/2/2023 11:25:15 AM,71_138,29,89,Generate,,,,
